class,year,longitude,latitude,kategori,B2,B3,B4,B8,B11,B12,NDVI,NDWI,NDBI,BSI,NDTI
1,2025,122.1609864711046,-2.819612518871398,air_keruh,0.0816,0.0885,0.1011,0.1258,0.16535,0.14725,0.10885853,-0.17405505,0.13584065,0.124617495,0.066455685
1,2025,122.21797804825304,-2.899164223376119,air_keruh,0.0495,0.06915,0.0487,0.02305,0.0195,0.01795,-0.35749128,0.5,-0.083431266,-0.030905854,-0.17352566
1,2025,122.1826158046007,-2.8539027227250457,air_keruh,0.0796,0.0938,0.0979,0.1332,0.1599,0.1335,0.15274774,-0.1735683,0.09109516,0.0956226,0.021387596
1,2025,122.17609267227648,-2.827156450869901,air_keruh,0.1647,0.2043,0.2572,0.2609,0.3262,0.3417,0.0071414555,-0.12166808,0.111224696,0.15639248,0.11462622
1,2025,122.15961318008898,-2.820298332894751,air_keruh,0.0923,0.1091,0.1386,0.1546,0.2235,0.215,0.054570217,-0.17254454,0.18222694,0.18916258,0.119095705
1,2025,122.13970046036242,-2.7904650504043733,air_keruh,0.0438,0.0568,0.044,0.1528,0.1192,0.0663,0.55284554,-0.45801526,-0.1235294,-0.09282934,-0.12698413
1,2025,122.14691023819444,-2.795608774042844,air_keruh,0.09,0.0984,0.1194,0.1734,0.2411,0.2232,0.18442622,-0.2759382,0.1633293,0.15563391,0.09641876
1,2025,122.14141707413197,-2.791836712243759,air_keruh,0.0787,0.0908,0.0948,0.2046,0.1652,0.1355,0.36673346,-0.38524035,-0.10654411,-0.04288608,0.021551726
1,2025,122.14725356094836,-2.796980429873182,air_keruh,0.1224,0.1472,0.1482,0.1732,0.2056,0.1796,0.077784665,-0.08114854,0.08553326,0.08962119,0.0033852472
1,2025,122.14279036514758,-2.792179627453436,air_keruh,0.0852,0.1094,0.1188,0.167,0.1759,0.1313,0.16864939,-0.20839363,0.025955094,0.07771074,0.04119195
